date,position_change,capital_change,positions,capital_deployed
2020-11-03,1,1633.9484873289011,4,1229.9567861221276
2020-11-04,0,53.40892904946077,4,1283.3657151715884
2020-11-05,0,-52.033469299895614,4,1231.3322458716927
2020-11-06,0,22.62584814984075,4,1253.9580940215335
2020-11-10,1,1532.5066641515416,5,2786.464758173075
2020-11-11,0,-0.7237231741839878,5,2785.7410349988913
2020-11-12,0,-26.9744516626929,5,2758.7665833361984
2020-11-13,-1,-1741.4801776074996,4,1017.2864057286988
2020-11-16,1,1719.8389580710698,5,2737.125363799769
2020-11-17,0,25.6989694723311,5,2762.8243332721
2020-11-18,0,-104.53504439680887,5,2658.2892888752913
2020-11-19,-1,-1763.7692246828767,4,894.5200641924146
2020-11-20,1,1769.5265723540208,5,2664.0466365464354
2020-11-24,-2,-3592.6333993920052,3,-928.5867628455699
2020-11-25,-1,-1817.4721522246712,2,-2746.058915070241
2020-11-30,-1,-1785.3013548387946,1,-4531.360269909035
2020-12-08,2,3590.217668057454,3,-941.1426018515813
2020-12-09,-1,-1866.8865510168412,2,-2808.0291528684224
2020-12-16,2,3617.205904994744,4,809.1767521263214
2020-12-17,0,-39.99297238549684,4,769.1837797408245
2020-12-18,0,-40.096455380478346,4,729.0873243603462
2020-12-21,-1,-1853.6618274248187,3,-1124.5745030644725
2020-12-22,-1,-1805.694455264948,2,-2930.2689583294205
2020-12-23,1,1827.0001213583728,3,-1103.2688369710477
2021-01-04,-1,-1857.166071651195,2,-2960.434908622243
2021-01-05,3,5491.949483765484,5,2531.514575143241
2021-01-06,0,12.367554941218941,5,2543.88213008446
2021-01-07,-1,-1902.2468085320738,4,641.6353215523864
2021-01-08,1,1825.692524530604,5,2467.3278460829906
2021-01-13,-1,-2021.4748093129936,4,445.85303676999706
2021-01-14,1,1839.18878095454,5,2285.0418177245374
2021-01-15,-2,-3598.151516343157,3,-1313.1096986186194
2021-01-19,0,208.71309870713935,3,-1104.39659991148
2021-01-20,1,1843.944663606817,4,739.5480636953369
2021-01-21,-1,-1835.3990832098743,3,-1095.8510195145375
2021-01-22,1,1832.5368949220183,4,736.6858754074808
2021-01-25,-1,-1882.3560524828472,3,-1145.6701770753664
2021-01-26,2,3702.9056981577864,5,2557.23552108242
2021-01-27,-1,-1924.0020632041676,4,633.2334578782522
2021-01-28,-2,-3599.3825442643256,2,-2966.1490863860736
2021-02-03,3,5578.827628482553,5,2612.6785420964798
2021-02-11,0,-65.73502368610366,5,2546.943518410376
2021-02-17,0,72.9953189211094,5,2619.938837331485
2021-02-18,0,10.65249424002809,5,2630.5913315715134
2021-02-23,0,45.019378545768404,5,2675.610710117282
2021-02-24,0,-3.286337454172781,5,2672.324372663109
2021-02-25,-1,-1888.8828415121773,4,783.4415311509317
2021-03-01,-1,-1708.7328114685342,3,-925.2912803176025
2021-03-02,1,1796.7160593461658,4,871.4247790285633
2021-03-03,0,-21.973175113565503,4,849.4516039149978
2021-03-04,-1,-1824.1359522502848,3,-974.684348335287
2021-03-08,1,1827.4816057990656,4,852.7972574637786
2021-03-09,1,1737.3911326358932,5,2590.188390099672
2021-03-11,0,-26.95209193788355,5,2563.236298161788
2021-03-12,0,-58.06518386091079,5,2505.171114300877
2021-03-17,0,-26.146814629540586,5,2479.0242996713364
2021-03-18,-1,-1864.326334575132,4,614.6979650962044
2021-03-19,-1,-1906.0095736569915,3,-1291.3116085607871
2021-03-22,1,1861.0356449378253,4,569.7240363770381
2021-03-23,1,1861.2295213361945,5,2430.953557713233
2021-03-24,0,2.1834682252538187,5,2433.1370259384867
2021-03-26,0,24.15277937429869,5,2457.2898053127856
2021-03-29,0,-25.320589339404705,5,2431.969215973381
2021-04-05,0,-67.78170779192078,5,2364.18750818146
2021-04-06,0,0.02334007314925657,5,2364.210848254609
2021-04-09,0,-28.863183896918827,5,2335.3476643576905
2021-04-12,0,71.13416451192688,5,2406.4818288696174
2021-04-13,0,-24.37522929260058,5,2382.106599577017
2021-04-15,0,12.56208078553368,5,2394.6686803625507
2021-04-16,-1,-1978.1377123661473,4,416.53096799640343
2021-04-19,-2,-3930.9537528807764,2,-3514.422784884373
2021-04-23,-1,-2048.6871538018054,1,-5563.109938686179
2021-04-26,1,2016.2350384648423,2,-3546.8749002213362
2021-04-27,1,2087.009670689096,3,-1459.8652295322404
2021-04-28,-2,-4146.963393210581,1,-5606.828622742822
2021-05-04,2,4009.6929587254685,3,-1597.135664017353
2021-05-06,-1,-2207.3395998558503,2,-3804.4752638732034
2021-05-07,1,2054.2029496548485,3,-1750.272314218355
2021-05-10,2,4086.017870222352,5,2335.745556003997
2021-05-11,-1,-1732.3885529590357,4,603.3570030449614
2021-05-18,-1,-2084.727790337123,3,-1481.3707872921618
2021-05-21,2,3977.938226318874,5,2496.5674390267122
2021-05-25,0,-45.0380694433195,5,2451.5293695833925
2021-05-27,0,38.318481790433225,5,2489.8478513738255
2021-06-01,0,-46.18745410061456,5,2443.660397273211
2021-06-02,0,-106.52962821960841,5,2337.1307690536023
2021-06-07,-1,-1995.2989501187049,4,341.83181893489746
2021-06-08,1,2008.261638663381,5,2350.0934575982783
2021-06-09,-1,-2070.740778657612,4,279.35267894066646
2021-06-11,0,-28.550984493969736,4,250.80169444669673
2021-06-14,-1,-2009.0553920532975,3,-1758.2536976066008
2021-06-15,2,4000.112315226199,5,2241.858617619598
2021-06-18,0,36.40464781557807,5,2278.2632654351764
2021-06-21,-1,-1891.3405864547733,4,386.92267898040313
2021-06-22,1,1956.4186917184388,5,2343.341370698842
2021-06-23,0,-119.44427744802533,5,2223.897093250817
2021-06-25,0,-44.093049663702686,5,2179.8040435871144
2021-06-29,0,-14.635963648009238,5,2165.168079939105
2021-06-30,0,-5.138597282554201,5,2160.029482656551
2021-07-01,0,-32.766583817097626,5,2127.2628988394536
2021-07-07,0,265.98982188867285,5,2393.2527207281264
2021-07-08,0,-6.490184524919641,5,2386.7625362032068
2021-07-09,-1,-1869.8757864933848,4,516.886749709822
2021-07-12,1,1913.326914159192,5,2430.213663869014
2021-07-14,-2,-3847.0658159262384,3,-1416.8521520572244
2021-07-15,2,3867.759420950512,5,2450.9072688932874
2021-07-19,-1,-1933.8584315165106,4,517.0488373767769
2021-07-20,-1,-1785.1300019934465,3,-1268.0811646166696
2021-07-21,1,1877.388654986845,4,609.3074903701754
2021-08-04,0,-10.56889045841558,4,598.7385999117598
2021-08-09,0,-12.795477830601158,4,585.9431220811587
2021-08-10,0,-3.61988684657058,4,582.3232352345881
2021-08-11,0,-55.653213812823196,4,526.6700214217649
2021-08-12,1,1888.8219779274737,5,2415.4919993492385
2021-08-13,-1,-1919.820481523784,4,495.67151782545443
2021-08-16,1,1911.416536175983,5,2407.0880540014377
2021-08-17,-3,-5760.792610450078,2,-3353.7045564486407
2021-08-18,1,1906.616807216096,3,-1447.0877492325446
2021-08-19,1,1888.6655101657748,4,441.57776093323014
2021-08-20,1,1887.394451705278,5,2328.972212638508
2021-08-23,-1,-2059.6916114782116,4,269.28060116029656
2021-08-24,-1,-1946.27730230266,3,-1676.9967011423635
2021-08-25,2,3870.9001130226447,5,2193.903411880281
2021-08-26,0,-1.4648371116727503,5,2192.4385747686083
2021-08-30,0,-23.38740636726243,5,2169.051168401346
2021-08-31,0,-19.841460656533172,5,2149.2097077448125
2021-09-02,-1,-1875.6176736853208,4,273.59203405949165
2021-09-03,1,1969.4547048015081,5,2243.0467388609995
2021-09-07,0,11.305881922783101,5,2254.3526207837826
2021-09-08,-2,-4100.610705911044,3,-1846.258085127261
2021-09-09,1,1980.9398447901503,4,134.68175966288936
2021-09-10,1,1976.4859725921715,5,2111.167732255061
2021-09-17,0,144.06474662080154,5,2255.2324788758624
2021-09-22,-1,-1843.0371780115615,4,412.19530086430086
2021-09-23,1,1899.467421265182,5,2311.662722129483
2021-09-24,0,-38.35242562164831,5,2273.3102965078347
2021-09-27,-1,-1850.7025017425224,4,422.6077947653123
2021-09-28,1,1844.9221137193806,5,2267.529908484693
2021-10-01,-1,-1855.8774108965035,4,411.65249758818936
2021-10-06,1,1869.777161789227,5,2281.429659377416
