ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
CRM,4,19.00198223781456,90.72856806365292,71.72658582583836,3,1,0.75,1.2649224415052165,0.003986927410593448
WELL,3,18.99336510395358,18.99336510395358,0.0,3,0,1.0,,0.0039851193946316855
HD,3,18.80309838018536,21.00046616446639,2.1973677842810275,2,1,0.6666666666666666,9.55710114378403,0.00394519831656617
CFG,1,18.721982696933765,18.721982696933765,0.0,1,0,1.0,,0.003928178916330061
LUV,3,18.300394494025227,87.7152705723363,69.41487607831107,2,1,0.6666666666666666,1.2636379336524273,0.003839722799430112
LHX,5,17.998053195187808,110.46001988903981,92.461966693852,4,1,0.8,1.1946535839409582,0.003776286638054773
MTB,6,17.09915946556532,77.9884021581255,60.889242692560174,3,3,0.5,1.280823979892504,0.003587683996236145
GIS,5,17.032694163545557,52.30887963131818,35.27618546777262,3,2,0.6,1.4828383210283937,0.003573738486175167
AMT,2,16.29738913410563,16.29738913410563,0.0,2,0,1.0,,0.003419459435688146
IEX,3,16.281557265535184,26.06863507355729,9.787077808022104,2,1,0.6666666666666666,2.6635769720957767,0.0034161376500989136
BIIB,2,16.24160795212083,27.18717408757925,10.94556613545842,1,1,0.5,2.4838527081304416,0.0034077556291764273
PNR,2,15.455836658948328,15.455836658948328,0.0,2,0,1.0,,0.0032428879291649775
PODD,1,15.088998334126018,15.088998334126018,0.0,1,0,1.0,,0.003165919234310621
KHC,9,14.995669195641085,168.2117612480797,153.21609205243863,6,3,0.6666666666666666,1.097872677698298,0.0031463372509272156
MRK,5,14.366059117001782,26.033930129387613,11.667871012385833,4,1,0.8,2.2312493943198146,0.0030142347339846653
NI,1,14.048605582276195,14.048605582276195,0.0,1,0,1.0,,0.0029476277777551988
CAT,1,13.93333191575266,13.93333191575266,0.0,1,0,1.0,,0.0029234414726092175
PCAR,1,13.509015632423823,13.509015632423823,0.0,1,0,1.0,,0.0028344129597102684
WM,3,13.04568351562716,13.04568351562716,0.0,3,0,1.0,,0.002737198285285999
TSLA,5,12.720800533309443,15.094384059159097,2.3735835258496536,4,1,0.8,6.359322895012037,0.0026690325091460656
WSM,3,12.1973371534516,25.938697654731868,13.741360501280267,1,2,0.3333333333333333,1.8876367920276298,0.002559201309880765
PG,6,12.007214642135523,126.86081937875156,114.85360473661603,5,1,0.8333333333333334,1.104543646406838,0.002519310489952069
ETN,1,11.859628573283317,11.859628573283317,0.0,1,0,1.0,,0.002488344513036375
LDOS,1,11.804670380002564,11.804670380002564,0.0,1,0,1.0,,0.002476813383047648
SYF,1,11.72894223381286,11.72894223381286,0.0,1,0,1.0,,0.0024609243764156805
BLK,1,11.683340929122323,11.683340929122323,0.0,1,0,1.0,,0.0024513564750591726
URI,1,11.133414319546318,11.133414319546318,0.0,1,0,1.0,,0.0023359728563349053
EXR,9,10.712585332524455,138.65993049696658,127.94734516444213,7,2,0.7777777777777778,1.0837265151438373,0.002247676035375309
HUM,7,10.397243404290066,119.67235498648506,109.275111582195,5,2,0.7142857142857143,1.0951474059714816,0.0021815121288074396
STZ,5,10.319398415278222,62.29049259096803,51.97109417568981,4,1,0.8,1.1985603454950013,0.0021651789738457937
RTX,4,9.175163041489213,15.1674816746131,5.992318633123887,3,1,0.75,2.531154066269347,0.001925099632709923
GWW,1,8.852743701602549,8.852743701602549,0.0,1,0,1.0,,0.0018574507691433908
ETR,4,8.17232985075293,59.70106981777417,51.52873996702124,3,1,0.75,1.1585975099717805,0.0017146887878643376
WAB,2,8.053285169573883,8.053285169573883,0.0,2,0,1.0,,0.0016897112620179238
JCI,1,7.050076939618634,7.050076939618634,0.0,1,0,1.0,,0.0014792217277954391
LYB,3,5.301963852989502,37.8872439422164,32.5852800892269,2,1,0.6666666666666666,1.162710396794852,0.0011124389419432835
XYL,2,5.240247220010133,5.240247220010133,0.0,2,0,1.0,,0.0010994897805013096
NEE,3,5.138833631345278,70.47869645843844,65.33986282709316,2,1,0.6666666666666666,1.0786477566526886,0.0010782115469257655
MCD,2,4.333444241991401,5.936861858542898,1.6034176165514964,1,1,0.5,3.70262980602111,0.000909227648697188
AMZN,3,3.1892184322078947,42.669783049676994,39.4805646174691,2,1,0.6666666666666666,1.0807794534629516,0.0006691503142464733
AZO,1,3.128233694844994,3.128233694844994,0.0,1,0,1.0,,0.0006563547165042476
FE,7,2.753955236156571,137.913607663402,135.15965242724542,6,1,0.8571428571428571,1.020375572049055,0.0005778249595839421
UPS,4,2.7314909127806004,9.664081022430878,6.9325901096502776,2,2,0.5,1.39400727139173,0.0005731115762375533
TSN,5,1.8209653112139819,140.45324107163606,138.6322757604221,3,2,0.6,1.0131352190622687,0.00038206837698075017
