date,rsi_ob,rsi_os,equity,actual_date,running_max,drawdown,daily_return
241,60,45,4819.424951720054,2015-12-16,5236.615337086855,-0.07966794551667133,0.08141695743030963
242,60,45,4809.78305887112,2015-12-17,5236.615337086855,-0.08150919071576923,-0.0020006313918203844
243,60,45,4733.07354119043,2015-12-18,5236.615337086855,-0.09615787364220396,-0.0159486439911688
244,60,45,4757.055388016574,2015-12-21,5236.615337086855,-0.09157822719456443,0.005066865455911174
245,60,45,4803.648781196323,2015-12-22,5236.615337086855,-0.08268061104740076,0.009794587066848548
246,60,45,4868.482826658534,2015-12-23,5236.615337086855,-0.07029970443334388,0.013496833014936538
247,60,45,4849.117891647205,2015-12-24,5236.615337086855,-0.07399769135137879,-0.003977611855851881
248,60,45,4855.317085576039,2015-12-28,5236.615337086855,-0.07281387441433373,0.0012784168311337218
249,60,45,4910.7115990752,2015-12-29,5236.615337086855,-0.06223556954881404,0.011409041371103212
250,60,45,4870.7537091235945,2015-12-30,5236.615337086855,-0.06986604980742972,-0.008136883859995003
251,60,45,4788.591434126668,2015-12-31,5236.615337086855,-0.08555600786393147,-0.01686849303076554
252,60,45,4725.618300890491,2016-01-04,5236.615337086855,-0.09758154901647476,-0.01315065904085888
253,60,45,4695.088598379157,2016-01-05,5236.615337086855,-0.10341159391114474,-0.0064604673013013425
254,60,45,4667.991548176351,2016-01-06,5236.615337086855,-0.10858612907527998,-0.005771360781596346
255,60,45,4646.020874946914,2016-01-07,5236.615337086855,-0.11278171569281059,-0.004706665169096236
256,60,45,4621.557643662537,2016-01-08,5236.615337086855,-0.11745328878146633,-0.005265415705790644
257,60,45,4610.985705000419,2016-01-11,5236.615337086855,-0.11947213835921644,-0.0022875271666501495
258,60,45,4591.492283498921,2016-01-12,5236.615337086855,-0.12319466144840374,-0.004227603976381555
259,60,45,4550.818479625877,2016-01-13,5236.615337086855,-0.13096185480801203,-0.008858515132262879
260,60,45,4592.630538105056,2016-01-14,5236.615337086855,-0.12297729688506198,0.009187810646891892
261,60,45,4571.309665487731,2016-01-15,5236.615337086855,-0.12704879560033444,-0.004642409712783513
262,60,45,4576.684629375475,2016-01-19,5236.615337086855,-0.1260223761401007,0.0011758039338976012
263,60,45,4580.003275070887,2016-01-20,5236.615337086855,-0.12538863745933326,0.000725120029925419
264,60,45,4566.651223993181,2016-01-21,5236.615337086855,-0.12793838576395744,-0.0029152929104618863
265,60,45,4638.232672348833,2016-01-22,5236.615337086855,-0.11426897456075202,0.015674822719011994
266,60,45,4587.500913097015,2016-01-25,5236.615337086855,-0.12395686568625164,-0.010937734873513238
267,60,45,4633.101703564829,2016-01-26,5236.615337086855,-0.11524879997348869,0.009940224826468613
268,60,45,4575.801492716229,2016-01-27,5236.615337086855,-0.12619102260397042,-0.012367570261734517
269,60,45,4585.6741872389375,2016-01-28,5236.615337086855,-0.12430570281490982,0.0021575880287689753
270,60,45,4661.3183666901605,2016-01-29,5236.615337086855,-0.10986046011864103,0.016495759699135748
271,60,45,4644.066854138833,2016-02-01,5236.615337086855,-0.11315486145248521,-0.003700994266902402
272,60,45,4600.862871241535,2016-02-02,5236.615337086855,-0.12140522549800103,-0.009303049300161237
273,60,45,4627.817224555271,2016-02-03,5236.615337086855,-0.11625794016603475,0.0058585430750868195
274,60,45,4595.386323293582,2016-02-04,5236.615337086855,-0.12245104375949656,-0.007007818089619144
275,60,45,4528.370262017682,2016-02-05,5236.615337086855,-0.13524863475329696,-0.014583335667820108
276,60,45,4468.6599296211325,2016-02-08,5236.615337086855,-0.14665110152867145,-0.013185832637710226
277,60,45,4412.00249310763,2016-02-09,5236.615337086855,-0.15747057801613518,-0.012678842741633
278,60,45,4417.841138741633,2016-02-10,5236.615337086855,-0.15635561247863372,0.0013233550169393649
279,60,45,4350.92432675246,2016-02-11,5236.615337086855,-0.16913425052662123,-0.015146948450082354
280,60,45,4431.478294857272,2016-02-12,5236.615337086855,-0.1537514196483798,0.018514219521013286
281,60,45,4518.523630375701,2016-02-16,5236.615337086855,-0.13712897749534347,0.019642505215346606
282,60,45,4639.880966729999,2016-02-17,5236.615337086855,-0.1139542112498989,0.02685774077587544
283,60,45,4612.186309875507,2016-02-18,5236.615337086855,-0.11924286719878119,-0.00596882916891095
284,60,45,4619.11549796433,2016-02-19,5236.615337086855,-0.11791964835554303,0.0015023651741878918
285,60,45,4668.280101456706,2016-02-22,5236.615337086855,-0.10853102606278431,0.010643726816106591
286,60,45,4687.675677800404,2016-02-23,5236.615337086855,-0.10482718778267719,0.004154758481104359
287,60,45,4753.364199171278,2016-02-24,5236.615337086855,-0.09228310784889748,0.014013026046566734
288,60,45,4819.8474445122,2016-02-25,5236.615337086855,-0.07958726500742064,0.013986566683132029
289,60,45,4912.513726731775,2016-02-26,5236.615337086855,-0.061891429767567896,0.019225978267233934
290,60,45,4887.60650611945,2016-02-29,5236.615337086855,-0.0666477884093658,-0.005070157967557498
291,60,45,4974.794942096863,2016-03-01,5236.615337086855,-0.04999801935722148,0.017838677452501672
292,60,45,5040.425997670196,2016-03-02,5236.615337086855,-0.03746491326701107,0.013192715747529782
293,60,45,5629.113282449067,2016-03-03,5629.113282449067,0.0,0.11679316094532011
294,60,45,5444.108755892628,2016-03-04,5629.113282449067,-0.03286566058872209,-0.03286566058872209
295,60,45,5369.869176541369,2016-03-07,5629.113282449067,-0.04605416393306416,-0.013636681903333336
296,60,45,5241.015449058546,2016-03-08,5629.113282449067,-0.06894475451410176,-0.023995692119601064
297,60,45,5340.798003480607,2016-03-09,5629.113282449067,-0.05121859598516065,0.019038782730546044
298,60,45,5253.171215568375,2016-03-10,5629.113282449067,-0.06678530845219188,-0.016407058992892964
299,60,45,5299.813636201703,2016-03-11,5629.113282449067,-0.05849938164756474,0.008878907372197764
300,60,45,5329.945125585959,2016-03-14,5629.113282449067,-0.05314658665617544,0.005685386591414376
301,60,45,5308.607683507442,2016-03-15,5629.113282449067,-0.056937137850987085,-0.004003313650658202
302,60,45,5449.428928852631,2016-03-16,5629.113282449067,-0.03192054317980619,0.026526964081879045
