total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
30.83,123,35.8,44,79,3.24,1.42,10.22,-7.96,0.28,2.29,24.45,1.7,0.25,5,9,SYF,MACD
-13.04,117,39.3,46,71,9.49,6.33,28.68,-28.06,-0.03,1.5,118.39,0.52,-0.11,4,8,SYK,MACD
-0.07,114,35.1,40,73,3.3,1.81,15.59,-6.23,-0.0,1.82,42.76,0.39,-0.0,5,8,SYY,MACD
-4.93,127,29.9,38,89,1.25,0.59,4.55,-1.91,-0.09,2.12,15.96,-0.14,-0.04,3,9,T,MACD
72.05,118,40.7,48,70,35.41,23.25,135.51,-133.47,0.04,1.52,505.05,1.56,0.61,5,5,TDG,MACD
-56.82,121,28.9,35,86,3.34,2.02,12.55,-11.85,-0.33,1.65,65.06,-1.49,-0.47,3,8,TAP,MACD
357.51,113,45.1,51,62,17.48,8.62,151.58,-26.85,0.67,2.03,73.4,2.75,3.16,4,5,TDY,MACD
21.51,110,37.3,41,69,4.58,2.41,24.32,-9.93,0.13,1.9,50.81,1.68,0.2,4,7,TECH,MACD
18.82,120,38.3,46,74,6.53,3.8,28.81,-16.48,0.07,1.72,55.49,1.14,0.16,5,8,TEL,MACD
-20.47,112,46.4,52,60,7.29,6.66,81.09,-54.49,-0.05,1.09,174.58,2.6,-0.18,6,10,TER,MACD
9.55,117,41.0,48,68,2.26,1.45,8.74,-4.38,0.1,1.55,24.07,0.93,0.08,7,6,TFC,MACD
112.03,107,41.1,44,63,8.97,4.49,28.17,-31.56,0.4,2.0,94.13,2.52,1.05,5,7,TGT,MACD
45.85,120,32.5,39,81,3.98,1.35,14.92,-5.12,0.42,2.95,19.7,1.28,0.38,4,7,TJX,MACD
119.42,101,56.4,57,44,5.19,4.01,24.48,-21.13,0.68,1.29,38.34,3.95,1.18,14,11,TKO,MACD
92.33,114,40.4,46,68,18.59,11.22,76.49,-44.23,0.12,1.66,218.67,1.72,0.81,3,5,TMO,MACD
-31.1,125,40.0,50,75,5.74,4.24,48.42,-29.41,-0.1,1.35,123.33,0.56,-0.25,5,6,TMUS,MACD
166.6,114,34.2,39,74,23.12,9.93,208.95,-56.82,0.23,2.33,345.96,2.92,1.46,5,11,TPL,MACD
65.05,108,40.7,44,64,4.31,1.95,23.83,-14.21,0.52,2.21,27.63,2.06,0.6,6,8,TPR,MACD
107.45,124,37.1,46,77,7.61,3.15,52.13,-15.88,0.44,2.41,43.32,1.95,0.87,5,6,TRGP,MACD
1.09,122,38.5,47,75,3.38,2.1,11.76,-7.13,0.01,1.61,39.22,1.49,0.01,4,8,TRMB,MACD
1.21,120,36.7,44,76,5.81,3.35,20.69,-13.38,0.0,1.74,84.96,0.46,0.01,7,8,TROW,MACD
118.91,117,35.9,42,75,8.91,3.41,28.94,-11.79,0.47,2.62,30.87,2.24,1.02,3,10,TRV,MACD
-14.17,115,37.4,43,70,1.67,1.23,7.14,-5.71,-0.16,1.36,35.4,0.47,-0.12,5,8,TSCO,MACD
38.79,105,38.1,40,65,4.17,1.97,12.27,-5.73,0.3,2.12,17.54,2.04,0.37,5,6,TSN,MACD
460.24,110,37.3,41,69,26.11,8.85,91.95,-44.7,0.75,2.95,121.71,4.02,4.18,6,8,TSLA,MACD
221.97,117,44.4,52,65,11.05,5.43,87.42,-23.44,0.63,2.04,91.32,3.06,1.9,4,5,TT,MACD
-67.49,93,38.7,36,57,4.98,4.33,18.38,-40.62,-0.27,1.15,115.92,1.32,-0.73,5,6,TTD,MACD
51.82,114,41.2,47,67,8.06,4.88,36.27,-15.82,0.16,1.65,81.28,1.56,0.45,4,6,TTWO,MACD
145.9,111,38.7,43,68,10.84,4.71,106.46,-29.17,0.46,2.3,60.69,2.44,1.31,4,6,TXN,MACD
47.65,63,46.0,29,34,4.65,2.56,17.9,-8.19,0.55,1.81,18.45,3.45,0.76,4,6,UBER,MACD
-13.56,113,37.2,42,71,3.25,2.11,8.69,-7.77,-0.09,1.54,43.3,0.56,-0.12,4,9,TXT,MACD
-141.95,126,31.7,40,86,20.55,11.21,72.69,-46.73,-0.15,1.83,338.3,-0.27,-1.13,5,8,TYL,MACD
27.55,116,35.3,41,75,6.85,3.38,37.37,-19.99,0.11,2.03,35.14,1.0,0.24,5,8,UAL,MACD
-25.08,128,31.2,40,88,1.75,1.08,5.26,-6.1,-0.26,1.62,26.06,-1.43,-0.2,4,9,UDR,MACD
7.51,27,25.9,7,20,6.84,2.02,12.25,-4.64,0.19,3.39,22.75,1.42,0.28,3,10,VLTO,MACD
25.94,108,34.3,37,71,11.5,5.63,50.5,-34.15,0.06,2.04,67.54,0.95,0.24,4,7,UHS,MACD
267.61,111,45.9,51,60,21.91,14.17,99.59,-92.65,0.31,1.55,126.82,2.16,2.41,4,5,ULTA,MACD
14.87,120,35.8,43,77,18.81,10.31,111.98,-65.05,0.02,1.82,165.39,0.6,0.12,5,8,UNH,MACD
104.47,113,36.3,41,72,11.24,4.95,37.71,-16.11,0.29,2.27,55.17,1.61,0.92,4,7,UNP,MACD
53.63,104,41.3,43,61,7.55,4.45,35.35,-16.7,0.2,1.7,88.16,1.61,0.52,6,6,UPS,MACD
10.78,85,34.1,29,56,1.61,0.64,5.24,-2.03,0.3,2.51,7.76,1.83,0.13,3,8,VICI,MACD
499.16,106,42.5,45,61,31.42,14.99,195.93,-86.48,0.55,2.1,128.71,3.69,4.71,4,5,URI,MACD
12.56,123,38.2,47,76,8.66,5.19,30.87,-31.49,0.03,1.67,108.7,0.84,0.1,3,8,V,MACD
19.32,116,37.1,43,73,2.69,1.32,12.06,-4.53,0.2,2.04,33.97,1.36,0.17,3,8,USB,MACD
191.01,116,38.8,45,71,9.85,3.55,39.51,-18.66,0.76,2.77,43.13,3.1,1.65,4,7,VLO,MACD
-58.3,108,32.4,35,72,5.55,3.51,52.94,-28.22,-0.23,1.58,145.13,0.93,-0.54,6,10,VST,MACD
135.6,113,37.2,42,71,11.33,4.79,34.04,-22.48,0.4,2.36,62.89,2.12,1.2,3,6,VMC,MACD
49.75,112,41.1,46,66,8.37,5.08,35.44,-29.47,0.15,1.65,95.16,1.66,0.44,7,7,VRSK,MACD
149.35,116,43.1,50,66,9.02,4.57,44.54,-22.38,0.49,1.97,62.76,2.51,1.29,6,7,VRSN,MACD
-139.12,128,30.5,39,89,18.07,9.48,75.82,-52.27,-0.16,1.91,270.97,-0.64,-1.09,4,11,VRTX,MACD
