total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
116.2,5,60.0,3,2,46.26,11.29,90.36,-20.34,5.15,4.1,20.34,11.72,23.24,3,1,ODFL,MA Cross
-7.78,7,57.1,4,3,11.94,18.52,16.9,-44.27,-0.14,0.64,44.27,1.24,-1.11,1,1,OKE,MA Cross
24.7,6,33.3,2,4,26.39,7.02,42.16,-11.32,0.88,3.76,18.02,6.38,4.12,1,3,ON,MA Cross
-50.08,12,25.0,3,9,6.14,7.61,9.14,-22.71,-0.73,0.81,59.22,-7.43,-4.17,1,5,OMC,MA Cross
35.47,8,75.0,6,2,10.53,13.86,34.78,-25.79,1.28,0.76,25.79,7.96,4.43,6,1,ORCL,MA Cross
56.12,4,75.0,3,1,19.0,0.87,40.83,-0.87,64.51,21.84,0.0,18.26,14.03,3,1,ORLY,MA Cross
15.06,6,33.3,2,4,23.68,8.07,44.0,-8.55,0.47,2.93,24.11,5.59,2.51,2,3,OXY,MA Cross
82.94,8,37.5,3,5,44.08,9.86,81.32,-17.99,1.68,4.47,19.92,4.6,10.37,2,2,PANW,MA Cross
-121.78,6,16.7,1,5,184.2,61.2,184.2,-132.77,-0.4,3.01,305.98,5.58,-20.3,1,5,PAYC,MA Cross
13.98,7,42.9,3,4,17.24,9.44,35.08,-15.73,0.37,1.83,23.76,2.28,2.0,1,3,PAYX,MA Cross
-3.01,8,50.0,4,4,11.58,12.33,33.66,-25.3,-0.06,0.94,25.3,1.06,-0.38,1,1,PCAR,MA Cross
-40.31,10,20.0,2,8,4.88,6.26,6.56,-23.13,-0.81,0.78,46.87,-11.46,-4.03,1,6,PCG,MA Cross
17.61,9,33.3,3,6,12.71,3.42,15.21,-4.94,0.86,3.72,10.36,5.21,1.96,2,3,PEG,MA Cross
-3.8,9,33.3,3,6,5.01,3.14,11.21,-7.92,-0.2,1.6,12.35,-0.93,-0.42,2,3,PFE,MA Cross
-14.05,11,45.5,5,6,6.95,8.14,22.95,-18.92,-0.29,0.85,39.56,-0.73,-1.28,2,4,PEP,MA Cross
4.95,9,22.2,2,7,19.11,4.75,22.71,-15.35,0.15,4.02,30.69,3.7,0.55,1,5,PFG,MA Cross
-1.97,14,42.9,6,8,7.93,6.19,28.16,-14.0,-0.04,1.28,29.22,1.62,-0.14,2,5,PG,MA Cross
151.83,6,66.7,4,2,40.96,6.02,98.23,-8.72,12.62,6.81,8.72,13.72,25.31,2,1,PGR,MA Cross
124.46,2,50.0,1,1,129.21,4.75,129.21,-4.75,26.2,27.2,0.0,15.49,62.23,1,1,PLTR,MA Cross
283.25,9,33.3,3,6,136.88,21.23,241.26,-50.93,2.22,6.45,108.13,6.03,31.47,1,5,PH,MA Cross
53.47,8,50.0,4,4,18.88,5.51,63.12,-7.84,2.43,3.43,10.81,5.82,6.68,2,2,PHM,MA Cross
87.99,10,30.0,3,7,47.48,7.78,51.06,-14.82,1.62,6.1,30.08,6.05,8.8,1,4,PKG,MA Cross
-20.04,9,44.4,4,5,11.53,13.23,27.44,-23.4,-0.3,0.87,54.01,-0.19,-2.23,2,3,PLD,MA Cross
-10.02,13,23.1,3,10,21.52,7.46,47.11,-18.13,-0.13,2.89,65.73,-1.02,-0.77,1,7,PM,MA Cross
54.81,5,40.0,2,3,50.88,15.65,56.07,-35.97,1.17,3.25,35.97,5.82,10.96,1,1,PNC,MA Cross
-39.52,9,44.4,4,5,7.54,13.93,12.51,-29.9,-0.57,0.54,69.67,-4.27,-4.39,3,5,PNW,MA Cross
