ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
ADP,2026-01-08,2026-01-28,265.67,50.3,250.69,35.7,-14.98,-5.64,20,SuperTrend
ADP,2026-03-06,2026-03-25,226.24,65.6,202.11,23.6,-24.13,-10.67,19,SuperTrend
ADSK,2015-04-08,2015-04-30,61.83,51.2,56.83,24.5,-5.0,-8.09,22,SuperTrend
ADSK,2015-08-03,2015-08-14,53.3,50.0,54.86,70.6,1.56,2.93,11,RSI OB
ADSK,2015-10-08,2015-10-16,47.31,54.3,52.04,71.7,4.73,10.0,8,RSI OB
ADSK,2016-02-26,2016-02-29,51.19,66.3,51.74,81.3,0.55,1.07,3,RSI OB
ADSK,2016-06-23,2016-06-24,59.06,54.7,54.04,32.1,-5.02,-8.5,1,SuperTrend
ADSK,2016-07-12,2016-07-18,57.38,48.3,58.01,81.3,0.63,1.1,6,RSI OB
ADSK,2016-11-11,2016-11-16,73.81,55.5,77.57,70.6,3.76,5.09,5,RSI OB
ADSK,2016-12-06,2017-01-13,76.32,52.8,81.32,77.3,5.0,6.55,38,RSI OB
ADSK,2017-07-19,2017-07-20,110.25,64.6,109.91,73.7,-0.34,-0.31,1,RSI OB
ADSK,2017-08-25,2017-09-11,114.97,62.4,116.48,70.5,1.51,1.31,17,RSI OB
ADSK,2018-01-04,2018-01-10,112.07,69.2,111.47,72.6,-0.6,-0.54,6,RSI OB
ADSK,2018-05-09,2018-05-14,135.32,55.7,134.11,74.9,-1.21,-0.89,5,RSI OB
ADSK,2018-11-28,2018-12-17,143.16,53.8,127.27,37.3,-15.89,-11.1,19,SuperTrend
ADSK,2019-04-01,2019-04-03,163.82,65.6,166.65,72.5,2.83,1.73,2,RSI OB
ADSK,2019-09-09,2019-10-02,151.02,57.2,142.84,25.7,-8.18,-5.42,23,SuperTrend
ADSK,2020-04-17,2020-04-22,180.94,69.9,175.37,71.6,-5.57,-3.08,5,RSI OB
ADSK,2020-11-09,2020-12-01,262.61,53.7,279.11,84.3,16.5,6.28,22,RSI OB
ADSK,2021-02-05,2021-02-17,305.86,48.5,302.52,70.1,-3.34,-1.09,12,RSI OB
ADSK,2021-04-05,2021-04-08,288.32,62.6,293.43,75.9,5.11,1.77,3,RSI OB
ADSK,2021-10-20,2021-10-22,298.64,62.9,308.58,85.7,9.94,3.33,2,RSI OB
ADSK,2022-03-29,2022-04-11,223.0,62.4,199.03,36.2,-23.97,-10.75,13,SuperTrend
ADSK,2022-05-27,2022-06-13,211.38,64.1,173.1,44.1,-38.28,-18.11,17,SuperTrend
ADSK,2022-06-24,2022-07-21,192.48,40.6,199.1,77.1,6.62,3.44,27,RSI OB
